Model,Class,Precision,Recall,F1,Support
Random Forest,NOVA 1,0.8102294455066922,0.9153503442689348,0.8595879556259904,7407.0
Random Forest,NOVA 2,0.8942137025204118,0.9278084714548803,0.910701373825018,2715.0
Random Forest,NOVA 3,0.7442704787837531,0.7877041306436119,0.765371601913429,12492.0
Random Forest,NOVA 4,0.9415089237425636,0.8979933972970184,0.9192364558031471,38772.0
XGBoost,NOVA 1,0.8008693609022557,0.9203456190090455,0.8564608329668949,7407.0
XGBoost,NOVA 2,0.8871135811045502,0.9406998158379374,0.9131212012870933,2715.0
XGBoost,NOVA 3,0.7021305468856018,0.8283701569004163,0.7600440690414983,12492.0
XGBoost,NOVA 4,0.9560938253396488,0.8694160734550707,0.9106971592213862,38772.0
MLP,NOVA 1,0.7921159837047688,0.8925340893749156,0.8393321906938361,7407.0
MLP,NOVA 2,0.8859840232389252,0.8987108655616943,0.8923020661912598,2715.0
MLP,NOVA 3,0.7404991738412036,0.6816362471982068,0.7098495269059231,12492.0
MLP,NOVA 4,0.9076494701833089,0.9080006190034046,0.9078250106370634,38772.0
LightGBM,NOVA 1,0.795835272219637,0.923585797218847,0.8549646941198525,7407.0
LightGBM,NOVA 2,0.8897391304347826,0.9421731123388581,0.91520572450805,2715.0
LightGBM,NOVA 3,0.690680502893634,0.8311719500480308,0.754441416893733,12492.0
LightGBM,NOVA 4,0.9572845593715956,0.8612400701537192,0.9067260433920765,38772.0
