Feature,NOVA 1,NOVA 2,NOVA 3,NOVA 4,Overall
additives_n,1.0858378,1.0987688,0.5458939,0.9483931,0.9197234
added_sugars_100g,1.779575,0.82130057,0.19389065,0.5969785,0.84793615
salt_100g,0.8688986,0.7675592,0.4092404,0.25924715,0.5762363
additives_per_energy,0.6712255,0.37177187,0.4177973,0.83971345,0.575127
proteins_100g,0.31935155,1.0948851,0.18059804,0.16708505,0.44047993
energy_100g,0.43112442,0.6987636,0.1475206,0.15605241,0.35836524
fiber_100g,0.23098326,0.85002613,0.13695662,0.122612104,0.33514452
carbohydrates_100g,0.33586752,0.60186964,0.14864095,0.1963567,0.3206837
fat_100g,0.37410963,0.6031235,0.1120489,0.14159708,0.30771977
fat_protein_ratio,0.3260981,0.539871,0.12110265,0.11359041,0.27516553
sugars_100g,0.2305871,0.5392834,0.13410395,0.13280316,0.2591944
saturated_fat_100g,0.2918121,0.30150837,0.13575199,0.18821281,0.22932132
sugar_fiber_ratio,0.2058956,0.44730893,0.1087402,0.10988876,0.21795839
